人工知能じんこうちのうAIエーアイとは計算という	概念と
高かったが	説明していた
ゲーデルの	証明の
証明の	核不動点定理について
核不動点定理について	説明していた
根本的な	勘違いを
勘違いを	した
した	まま
まま	説明していた
同様の	間違いは
間違いは	見られる
他の	入門書などにも
入門書などにも	見られる
フランセーンによれば	誤解
不完全性定理に関する	誤解
誤用は	起こっており
哲学をはじめ	起こっており
一般に	起こっており
起こっており	乱用されている
宗教や	神学でも
神学でも	乱用されている
1931年に	示したのは
ゲーデルが	示したのは
示したのは	定理ではない
特定の	形式体系
形式体系	存在であり
formula1において	存在であり
決定不能な	命題の
命題の	存在であり
一般的な	意味での
意味での	不完全性についての
不完全性についての	定理ではない
科学と	哲学

科学を	語るとは
語るとは	ことかによると
どういう	ことかによると
ことかによると	なった
学問の	扱う
扱う	問題が
問題が	整理され
整理され	分化した
分化した	ことで
ことで	なった
科学と	哲学も
哲学も	異なる
それぞれ	異なる
異なる	問題を
問題を	研究するように
研究するように	なった
これは	言う
研究分野の	細分化
細分化	その
ものであり立派な	進歩だと
進歩だと	言う
宇宙物理学者の	須藤は
須藤は	言う
一方で	言及した
科学哲学者倫理学者の	伊勢田哲治は
伊勢田哲治は	扱う
様々な	要素を
要素を	含んだ
含んだ	問題を
大きな	問題を
問題を	扱う
哲学的統一的に	扱う
扱う	言及した
かつての	天文学について
天文学について	言及した
	返している
その後の	天文学では
天文学では	なりましたし
その	哲学的
哲学的	なりましたし
問題を	扱わなく
扱わなく	なりましたし
なりましたし	返している
今の	物理学でも
物理学でも	扱わないと
そう	いう
いう	問題を
問題を	扱わないと
扱わないと	述べた
述べた	伊勢田に対し
伊勢田に対し	返している
須藤は	返している
その	通りですが
通りですが	あるのでしょうかと
それ自体に	あるのでしょうかと
何か	あるのでしょうかと
問題が	あるのでしょうかと
あるのでしょうかと	返している
須藤は	述べた
次の	ようにも
ようにも	述べた
須藤は	取り上げて
哲学的に	論じられている
論じられている	原因という
原因という	言葉を
言葉を	取り上げて
取り上げて	定義しない
原因という	言葉を
言葉を	定義しない
具体的に	定義しない
定義しない	限り
限り	不可能ですと
それ以上の	議論は
議論は	不可能ですと
不可能ですと	述べており
述べており	している
哲学者が	持っている
興味を	持っている
持っている	因果の
因果の	定義が
定義が	確かでしょうと
物理学者とは	違う
違う	ことは
ことは	確かでしょうと
確かでしょうと	している
伊勢田は	大きいのかもしれませんと
思った	以上に
以上に	違いというのは
物理学者と	哲学者の
哲学者の	ものの
ものの	見え方の
見え方の	違いというのは
違いというのは	大きいのかもしれませんと
大きいのかもしれませんと	述べている
対談で	行ってきました
須藤は	行ってきました
これまで	けっこう長
けっこう長	行ってきました
時間	行ってきました
議論を	行ってきました
おかげで	思いますが
意見の	違いは
違いは	なったとは
明らかに	なったとは
なったとは	思いますが
思いますが	つくのでしょうかと
果たして	つくのでしょうかと
何か	つくのでしょうかと
決着が	つくのでしょうかと
つくのでしょうかと	発言し
発言し	答えている
伊勢田は	答えている
決着は	つかないでしょうねと
つかないでしょうねと	答えている
